Market Name,Address,Start Date,End Date,Days of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Open,Close,SNAPEBT,SNAPMATCH,HIP,Latitude,Longitude
Orleans Fall Farmers Market,"21 Old Colony Way, Orleans MA 02653",9/7/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,12:00 PM,1,1,1,41.786503,-69.9951
Petersham Friday Market,Town Common,6/8/2018,10/19/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:00 PM,0,0,0,0,0
Revere Farmers Market,"249 Broadway, Revere, MA 02151",7/6/2018,10/5/2018,Friday,0,0,0,0,1,0,0,12:00 PM,4:30 PM,0,0,1,42.407333,-71.013236
Rockland Farmers Market,"242 Union St., Rockland MA 02370",6/22/2018,9/14/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:00 PM,0,0,0,42.128849,-70.915759
Roslindale Village Winter Farmers Market," Roslindale Sons of Italy Hall, 30 Birch St, Roslindale, MA 02131",1/6/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,2:00 PM,1,1,1,0,0
Roslindale Village Summer Farmers Market,"Adams Park, Roslindale MA 02131",6/1/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:30 PM,1,,,42.286674,-71.128473
Rowley Farmers Market,rowley town common main street,7/8/2018,10/28/2018,Sunday,0,0,0,0,0,0,1,8:00 AM,1:00 PM,0,,0,0,0
Sandwich Farmers Market,"164 MA-6A, Sandwich, MA 02563",6/12/2018,10/16/2018,Tuesday,0,1,0,0,0,0,0,9:00 AM,1:00 PM,1,0,0,41.752744,-70.491492
Sheffield Farmers Market,"125 Mains Street, Sheffield, MA 01257",5/25/2018,10/5/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:30 PM,1,0,0,42.110721,-73.353703
Shrewsbury Farmer Market,100 Maple Ave. Shrewsbury MA 01545,6/13/2018,9/26/2018,Wednesday,0,0,1,0,0,0,0,2:30 PM,6:30 PM,1,,1,42.291809,-71.722456
South Hadley Farmers Market,"Town Common, South Hadley MA",6/14/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,2:00 PM,6:00 PM,1,1,1,0,0
Sterling Farmers Market,"1 Park St, Sterling MA 01564",5/18/2018,11/1/2018,Friday,0,0,0,0,1,0,0,3:00 PM,6:30 PM,1,,1,42.360868,-71.245212
Swansea Farmers Market @ Stony Creek Farm,"1210 Wilbur Ave, Swansea, Ma 02777",6/3/2018,12/2/2018,Sunday,0,0,0,0,0,0,1,10:00 AM,2:00 PM,1,0,0,41.732259,-71.234313
Wakefield Farmers Market,"Hall Park North Ave, Wakefield MA 01880",6/16/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,0,0
Waltham Farmers Market,"119 School Street, Waltham MA",6/9/2018,11/3/2018,Saturday,0,0,0,0,0,1,0,9:30 AM,2:00 PM,1,1,1,42.37855,-71.236365
West Brookfield Farmers Market,"West Brookfield Town Common, Junction of Rt. 67 and Rt. 9",6/6/2018,10/10/2018,Wednesday,0,0,1,0,0,0,0,3:00 PM,6:00 PM,1,0,1,42.236622,-72.138092
Williamstown Farmers Market,"Spring Street Parking Lot, Williamstown, MA",5/19/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,0,0,0,39.695311,-74.999871
Wilmington Farmers Market,"140 Middlesex Avenue, Wilmington, MA 0188",6/10/2018,10/29/2017,Sunday,0,0,0,0,0,0,1,10:00 AM,1:00 PM,1,,1,42.557608,-71.16431
Winchester Farmers Market,"Laraway Road, Winchester, MA 01890",6/9/2018,10/27/2018,Saturday,0,0,0,0,0,1,0,9:30 AM,1:30 PM,1,1,1,42.452363,-71.138046
